"Price","Area","Bedrooms","Agency","Id","Type","Zone","URL","Timestamp","Ascensor","Garatge","Calefacció","Electrodomèstics","NoFeature","Terrassa","Traster","Jardí","Balcó","Cuina Equipada","Armaris encastats","Safareig","Habitació suite","Vidres dobles","Llar de foc","Box tancat","Moblat","Piscina","Cuina","TV","Internet - Wifi","Planta baixa","Assolellat","Sortida de fums","Aparador","Asfaltat","Apte per fumadors","Rentavaixelles","Cultivable","Porter automàtic","Edificable","Cèntric","Rentadora","S'accepten animals","Adaptat per a minusvàlids","Aire condicionat","Altell","Alarma","Ascensor / muntacàrregues"
"1.280.000 €","305 m2",4,"Immobiliària Superior",15866,"venda","ordino","/venda/xalet-4-habitacions-3-banys-la-cortinada/15866","2023-11-09 16:55:57.440535",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"850.000 €","170 m2",4,"Pi Serveis Immobiliaris",26909,"venda","ordino","/venda/casa-adossada-4-habitacions-3-banys-ordino-terrassa-parking/26909","2023-11-09 16:56:04.332528",0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390.000 €","107 m2",3,"Perfect Home Serveis Immobiliaris",26895,"venda","ordino","/venda/pis-3-habitacions-3-banys-ordino/26895","2023-11-09 16:56:05.488833",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395.000 €","96 m2",3,"Perfect Home Serveis Immobiliaris",26894,"venda","ordino","/venda/atic-3-habitacions-2-banys-ordino/26894","2023-11-09 16:56:05.288232",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"540.000 €","72 m2",2,"Immobiliària Reig",26777,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino-terrassa/26777","2023-11-09 16:56:05.889514",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"625.000 €","100 m2",3,"Immobiliària Reig",26779,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/26779","2023-11-09 16:56:05.007895",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670.000 €","110 m2",3,"Immobiliària Reig",26781,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino/26781","2023-11-09 16:56:05.964622",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635.000 €","100 m2",3,"Immobiliària Reig",26782,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/26782","2023-11-09 16:56:06.255581",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"585.000 €","84 m2",2,"Immobiliària Reig",26783,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino-terrassa/26783","2023-11-09 16:56:06.275584",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"650.000 €","105 m2",3,"Immobiliària Reig",26785,"venda","ordino","/venda/atic-3-habitacions-2-banys-ordino-terrassa/26785","2023-11-09 16:56:06.998509",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"600.000 €","84 m2",2,"Immobiliària Reig",26786,"venda","ordino","/venda/atic-2-habitacions-2-banys-ordino-terrassa/26786","2023-11-09 16:56:08.247157",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"725.000 €","115 m2",3,"Immobiliària Reig",26784,"venda","ordino","/venda/atic-3-habitacions-2-banys-ordino-terrassa/26784","2023-11-09 16:56:08.568218",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630.000 €","82 m2",2,"Immobiliària Reig",26780,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino-terrassa/26780","2023-11-09 16:56:08.758180",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"650.000 €","110 m2",3,"Immobiliària Reig",26778,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/26778","2023-11-09 16:56:08.935978",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"600.000 €","100 m2",2,"Immobiliària Reig",26776,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino-terrassa/26776","2023-11-09 16:56:09.137256",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249.000 €","81 m2",2,"Nou Aire Immobiliària",26205,"venda","ordino","/venda/atic-2-habitacions-2-banys-ordino/26205","2023-11-09 16:56:09.306827",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"770.000 €","215 m2",4,"Immobiliària Galí",12982,"venda","ordino","/venda/casa-adossada-4-habitacions-2-banys-ordino-terrassa-parking/12982","2023-11-09 16:56:09.622448",0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422.000 €","92 m2",3,"Immobiliària Galí",25105,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-parking/25105","2023-11-09 16:56:10.048113",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.250.000 €","400 m2",4,"Nou Aire Immobiliària",16694,"venda","ordino","/venda/casa-adossada-4-habitacions-2-banys-ordino-terrassa-parking/16694","2023-11-09 16:56:09.987330",0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609.000 €","0 m2",3,"Nou Aire Immobiliària",26247,"venda","ordino","/venda/duplex-3-habitacions-2-banys-ordino-terrassa/26247","2023-11-09 16:56:11.462049",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336.000 €","75 m2",2,"Becier Immobiliària",26389,"venda","ordino","/venda/pis-2-habitacions-1-bany-ordino-parking/26389","2023-11-09 16:56:12.906361",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"760.000 €","205 m2",4,"Nou Aire Immobiliària",24871,"venda","ordino","/venda/casa-adossada-4-habitacions-2-banys-ordino-terrassa-parking/24871","2023-11-09 16:56:13.195117",0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400.000 €","85 m2",3,"Nou Aire Immobiliària",24875,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/24875","2023-11-09 16:56:12.926586",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315.000 €","92 m2",3,"Nou Aire Immobiliària",18687,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-parking/18687","2023-11-09 16:56:13.225964",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422.400 €","94 m2",3,"Nou Aire Immobiliària",24702,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-parking/24702","2023-11-09 16:56:13.970898",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344.500 €","96 m2",3,"Nou Aire Immobiliària",25200,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-parking/25200","2023-11-09 16:56:14.798537",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"650.000 €","134 m2",3,"Nou Aire Immobiliària",24090,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa-parking/24090","2023-11-09 16:56:21.055379",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435.000 €","80 m2",2,"Immobiliària Zona Habitable",26534,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/26534","2023-11-09 16:56:22.604125",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435.000 €","80 m2",2,"Finques Marca",26494,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/26494","2023-11-09 16:56:22.911360",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315.000 €","90 m2",3,"Immobiliària KSA",26462,"venda","ordino","/venda/pis-3-habitacions-2-banys-ansalonga/26462","2023-11-09 16:56:22.456684",1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225.000 €","50 m2",1,"468 Immo",25986,"venda","ordino","/venda/pis-1-habitacio-1-bany-ordino/25986","2023-11-09 16:56:23.192224",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.300.000 €","250 m2",3,"Immodern",22460,"venda","ordino","/venda/casa-adossada-3-habitacions-3-banys-ordino-parking/22460","2023-11-09 16:56:22.679654",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435.000 €","80 m2",2,"Land immobiliària",26397,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/26397","2023-11-09 16:56:23.891719",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"450.000 €","121 m2",2,"Immobiliària Galí",18933,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino-terrassa/18933","2023-11-09 16:56:24.667021",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435.000 €","80 m2",2,"Immobiliària Xamari",26304,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/26304","2023-11-09 16:56:24.817877",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"825.000 €","152 m2",3,"Immobiliària Galí",18911,"venda","ordino","/venda/atic-3-habitacions-2-banys-ordino-terrassa/18911","2023-11-09 16:56:26.052408",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500.000 €","107 m2",2,"Immobiliària Galí",18936,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino-terrassa/18936","2023-11-09 16:56:26.469110",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"585.000 €","130 m2",3,"Immobiliària Galí",18935,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/18935","2023-11-09 16:56:26.658978",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"555.000 €","125 m2",3,"Immobiliària Galí",18934,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/18934","2023-11-09 16:56:26.779080",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279.000 €","80 m2",2,"Promocions Norma S.L.",26226,"venda","ordino","/venda/pis-2-habitacions-1-bany-ordino/26226","2023-11-09 16:56:26.439908",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
